time,X,Y,Z,dX,dY,dZ,dE,dN,dU,n_sat
1714435230.0,-289271.7108113881,-6664343.1400346905,-1592353.2471979146,-8334.927710934717,49796.45203252975,-223345.0802632717,-10409.43027216347,-228716.5381592188,-3545.6264119910265,8
1714435260.0,-297051.82666659844,-6607123.779441471,-1813920.5961653113,-16115.043566145061,107015.81262574904,-444912.42923066835,-20574.855687614716,-457185.5912958666,-14736.311950597606,8
1714435290.0,-304236.2270994538,-6542549.2107261745,-2033463.3282007575,-23299.443999000418,171590.38134104572,-664455.1612661146,-30452.57815668878,-685152.0629633412,-33557.04834002658,7
1714435320.0,-310785.01573535753,-6470693.643059395,-2250736.372524715,-29848.232634904154,243445.949007825,-881728.2055900721,-39999.6337973075,-912361.3201963322,-59986.051032915566,7
1714435350.0,-316659.2963065525,-6391641.25263268,-2465497.761255542,-35722.5132060991,322498.3394345399,-1096489.5943208989,-49173.641278825846,-1138559.7614819212,-93991.1159600566,7
1714435380.0,-321821.322011527,-6305483.704484922,-2677508.250525311,-40884.53891107364,408655.88758229837,-1308500.0835906682,-57933.054653332154,-1363494.9415741889,-135532.11506711756,7
1714435410.0,-326234.5428440132,-6212320.623449811,-2886531.721437836,-45297.759743559815,501818.96861740947,-1517523.5545031931,-66237.19095484969,-1586915.8693931217,-184560.45290558808,7
1714435440.0,-329863.6507331675,-6112258.749107984,-3092335.0261114677,-48926.8676327141,601880.8429592364,-1723326.8591768248,-74046.31062810576,-1808573.0263798088,-241019.92281069967,7
1714435470.0,-332674.8631760478,-6005415.062228308,-3294689.8543943698,-51738.08007559442,708724.5298389122,-1925681.6874597268,-81321.77020910606,-2028219.5654956729,-304843.26033822546,7
1714435500.0,-334635.6933174137,-5891912.144647384,-3493370.9282998634,-53698.9102169603,822227.4474198362,-2124362.7613652204,-88025.9865907196,-2245610.475389898,-375957.0568937102,7
1714435530.0,-335715.18001086684,-5771880.687129672,-3688157.466781417,-54778.39691041346,942258.9049375486,-2319149.299846774,-94122.56203914207,-2460503.5102119325,-454279.00153089943,6
1714435560.0,-335883.9603191236,-5645458.997390972,-3878833.3452534336,-54947.1772186702,1068680.5946762478,-2509825.1783187906,-99576.37719834411,-2672659.4439866524,-539718.3274800299,6
1714435590.0,-335114.2503247483,-5512791.9389811205,-4065186.6389721273,-54177.4672242949,1201347.6530860998,-2696178.4720374844,-104353.61627862844,-2881841.83636689,-632176.9432238014,6
1714435620.0,-333380.00270651234,-5374031.83680127,-4247010.679991413,-52443.21960605896,1340107.7552659502,-2878002.51305677,-108421.88663919113,-3087817.885046184,-731548.3274905259,6
1714435650.0,-330656.89000844164,-5229337.683931772,-4424103.869758689,-49720.10690798826,1484801.9081354486,-3055095.702824046,-111750.2352311328,-3290358.4014591575,-837718.343908313,6
1714435680.0,-326922.336171901,-5078873.920007602,-4596268.733956757,-45985.55307144765,1635265.672059618,-3227260.567022114,-114309.23117318617,-3489237.1297268327,-950566.6252125761,6
1714435710.0,-322155.81788532576,-4922815.036691739,-4763317.052703852,-41219.034784872376,1791324.555375481,-3394308.885769209,-116071.07430167243,-3684234.8457470806,-1069961.0229466362,6
1714435740.0,-316338.5129442994,-4761337.934719896,-4925062.605081626,-35401.729843846,1952801.6573473243,-3556054.4381469833,-117009.56335922227,-3875133.786007236,-1195766.5596206302,6
1714435770.0,-309453.65372329607,-4594627.413103948,-5081327.108329757,-28516.87062284269,2119512.178963272,-3712318.941395114,-117100.21967597594,-4061722.361434312,-1327838.8488446246,6
1714435800.0,-301486.4727092899,-4422874.339051626,-5231938.935988805,-20549.689608836547,2291265.2530155946,-3862930.7690541623,-116320.30925910747,-4243794.269306332,-1466026.1462135059,6
1714435830.0,-292424.07416912477,-4246271.547651081,-5376728.449356787,-11487.291068671388,2467868.044416139,-4007720.282422144,-114648.88599008707,-4421144.743603429,-1610174.3053760577,6
1714435860.0,-282255.8529500318,-4065021.777089492,-5515538.046932772,-1319.0698495784309,2649117.8149777283,-4146529.879998129,-112066.87831948564,-4593578.804042776,-1760116.9759784737,6
1714435890.0,-270973.21926748985,-3879330.9297557515,-5648214.5236873105,9963.563832963526,2834808.6623114687,-4279206.356752668,-108557.09602163373,-4760905.125445424,-1915683.7451948272,6
1714435920.0,-258569.72366680656,-3689409.8608188643,-5774611.768888838,22367.05943364682,3024729.731248356,-4405603.601954195,-104104.28027368558,-4922938.320683368,-2076697.8402196974,6
1714435950.0,-245041.0086845466,-3495472.819926672,-5894588.955665784,35895.77441590678,3218666.772140548,-4525580.788731141,-98695.1205056164,-5079497.480195754,-2242978.019042611,7
1714435980.0,-230385.10299921944,-3297741.903721329,-6008017.345284304,50551.68010123394,3416397.6883458914,-4639009.178349661,-92318.36215198346,-5230411.941803386,-2414332.833964428,7
1714436010.0,-214602.01816409148,-3096439.5198557423,-6114770.275237901,66334.7649363619,3617700.072211478,-4745762.108303258,-84964.71878645969,-5375512.998207307,-2590570.034720334,7
1714436040.0,-197694.0813743427,-2891793.3008008557,-6214730.339168682,83242.70172611068,3822346.2912663645,-4845722.172234039,-76626.99917154797,-5514639.941913929,-2771490.3034783434,7
1714436070.0,-179665.85771383814,-2684034.6570432987,-6307788.097060964,101270.92538661524,4030104.9350239215,-4938779.9301263215,-67300.09005831592,-5647639.092651621,-2956888.933132711,7
1714436100.0,-160524.1517244093,-2473398.2825112245,-6393841.986725375,120412.63137604407,4240741.309555996,-5024833.819790732,-56980.978430462084,-5774363.809878904,-3146556.3290906185,7
1714436130.0,-140278.014177774,-2260121.1584810936,-6472796.178506508,140658.7689226794,4454018.433586126,-5103788.011571865,-45668.799912966555,-5894672.591000728,-3340279.414762156,7
1714436160.0,-118938.75853092333,-2044443.9681394093,-6544565.018236331,161998.02456953004,4669695.623927811,-5175556.851301688,-33364.79607595509,-6008433.139846447,-3537839.3541155336,7
1714436190.0,-96519.95400257442,-1826609.5285734823,-6609069.947128842,184416.82909787894,4887530.063493738,-5240061.780194199,-20072.3730693642,-6115519.663984418,-3739013.7052330924,8
1714436220.0,-73037.40539647937,-1606862.8672957008,-6666240.374778435,207899.37770397402,5107276.724771519,-5297232.207843792,-5797.078264717944,-6215813.7147507835,-3943576.170921501,8
1714436250.0,-48509.20216682435,-1385450.945063969,-6716013.767811916,232427.58093362904,5328688.647003251,-5347005.600877273,9453.339134605718,-6309204.32929832,-4151296.8501945836,8
1714436280.0,-22955.60188530184,-1162622.4480972239,-6758336.11103252,257981.18121515153,5551517.143969996,-5389327.9440978775,25669.035837790172,-6395588.5250153765,-4361942.3538120035,8
1714436310.0,3600.8655548519882,-938627.3555442182,-6793160.66858819,284537.6486553054,5775512.236523002,-5424152.501653547,42837.95227125261,-6474870.171842212,-4575276.4721442675,8
1714436340.0,31135.50356377313,-713716.8494702821,-6820450.001671445,312072.2866642265,6000422.742596938,-5451441.834736802,60945.91434812572,-6546961.987813729,-4791059.862404492,8
1714436370.0,59621.54570362902,-488142.6782899734,-6840172.373216366,340558.3288040824,6225996.913777247,-5471164.206281723,79976.7036199258,-6611782.145537504,-5009051.397680956,21
1714436400.0,89029.82490510348,-262157.7790876308,-6852309.852998231,369966.60800555686,6451981.812979589,-5483301.686063588,99911.7527989457,-6669262.08453318,-5229005.916606627,21
1714436430.0,119329.28232207958,-36014.78896234235,-6856847.83334495,400266.06542253296,6678124.8031048775,-5487839.666410307,120730.5919333903,-6719336.543494082,-5450677.806716906,21
1714436460.0,150486.7048582348,190033.46075799744,-6853781.6164373215,431423.4879586882,6904173.052825218,-5484773.449502679,142410.6068245418,-6761949.912025372,-5673819.187109666,21
1714436490.0,182466.83767482068,415734.4271527342,-6843114.812210489,463403.62077527406,7129874.0192199545,-5474106.645275846,164927.1312591075,-6797054.7589667775,-5898180.7071782965,21
1714436520.0,215232.4380428636,640836.1506346023,-6824860.302906795,496169.22114331694,7354975.742701823,-5455852.135972152,188253.4884846633,-6824612.836923225,-6123511.643780079,7
1714436550.0,248744.22755709884,865087.3676700471,-6799036.485546631,529681.0106575522,7579226.959737267,-5430028.318611988,212360.93875298236,-6844591.423499834,-6349560.764197162,7
1714436580.0,282961.05683025846,1088238.0271685184,-6765672.855444361,563897.8399307118,7802377.619235739,-5396664.6885097185,237218.82228217827,-6856968.896064074,-6576075.717021657,8
1714436610.0,317839.79693238996,1310039.294668289,-6724805.894167073,598776.5800328434,8024178.886735509,-5355797.72723243,262794.4506159417,-6861730.703403607,-6802803.8575906,8
1714436640.0,353335.6313490872,1530244.1364685525,-6676480.99784456,634272.4144495407,8244383.728535773,-5307472.830909917,289053.3739063115,-6858871.3744072225,-7029492.4444297245,8
1714436670.0,389401.90897366643,1748608.023990014,-6620753.745819021,670338.6920741198,8462747.616057234,-5251745.578884378,315959.20458789,-6848395.900962049,-7255889.067869497,7
1714436700.0,425990.4032673845,1964886.7532227526,-6557680.606115131,706927.186367838,8679026.345289974,-5188672.439180488,343473.9674716047,-6830310.1974302,-7481741.392932862,7
1714436730.0,463051.04705287196,2178840.4315898367,-6487333.651232599,743987.8301533253,8892980.023657057,-5118325.484297956,371557.6680952651,-6804636.314369889,-7706798.095462981,6
1714436760.0,500532.2717152091,2390231.3074432253,-6409790.437172757,781469.0548156626,9104370.899510445,-5040782.2702381145,400168.72236813937,-6771402.091093009,-7930808.78409091,7
1714436790.0,538381.041918433,2598824.6032823785,-6325136.336426332,819317.8250188865,9312964.195349598,-4956128.169491689,429263.95642358944,-6730643.608598119,-8153524.348675191,7
1714436820.0,576542.8369933326,2804388.6704300465,-6233464.349449456,857479.6200937859,9518528.262497267,-4864456.182514813,458798.5815567677,-6682405.035765797,-8374697.148791438,7
1714436850.0,614961.8535329677,3006695.685406257,-6134875.895902634,895898.6366334211,9720835.277473478,-4765867.728967991,488726.36753041885,-6626739.5459035775,-8594081.544723159,7
1714436880.0,653581.038464971,3205521.6739858263,-6029480.042142487,934517.8215654243,9919661.266053047,-4660471.875207844,518999.6746125214,-6563708.56507995,-8811434.077498855,7
1714436910.0,692341.7255834825,3400645.3072948195,-5917390.932396069,973278.508683936,10114784.899362039,-4548382.765461426,549569.14075635,-6493379.011021694,-9026512.791533958,7
1714436940.0,731184.6870590708,3591851.389677932,-5798733.676917441,1012121.4701595241,10305990.981745152,-4429725.509982798,580384.586377403,-6415829.7699691765,-9239079.509054758,7
1714436970.0,770049.1929965286,3778927.8103408515,-5673638.035999519,1050985.976096982,10493067.40240807,-4304629.869064876,611394.2021729569,-6331144.8898233455,-9448898.076320328,7
1714437000.0,808873.925577719,3961668.292028113,-5542242.910288807,1089810.7086781724,10675807.884095334,-4173234.743354164,642545.3475545524,-6239418.53816784,-9655736.189638961,7
1714437030.0,847596.4699387659,4139870.7922711186,-5404692.924453915,1128533.2530392192,10854010.384338338,-4035684.757519272,673784.1088076783,-6140751.330478581,-9859364.495775424,7
1714437060.0,886153.5691728337,4313338.269329866,-5261139.353634448,1167090.352273287,11027477.861397088,-3892131.186699805,705055.5218506714,-6035251.393522559,-10059557.166026019,8
1714437090.0,924481.6701596986,4481880.330685558,-5111741.88827954,1205418.453260152,11196019.922752779,-3742733.7213448975,736304.0486702479,-5923036.429587973,-10256093.177653713,8
1714437120.0,962516.266008578,4645311.100765759,-4956665.06420343,1243453.0491090314,11359450.69283298,-3587656.897268787,767473.0094810405,-5804229.785915202,-10448754.916868107,8
1714437150.0,1000192.4227370253,4803450.739856704,-4796080.171857935,1281129.2058374786,11517590.331923924,-3427072.0049232924,798505.045444427,-5678962.634258,-10637329.303641373,8
1714437180.0,1037444.9940413801,4956126.207233787,-4630165.2586478265,1318381.7771418334,11670265.799301006,-3261157.0917131836,829342.3013478012,-5547374.128073413,-10821608.546969462,8
1714437210.0,1074208.0342415378,5103168.463698883,-4459102.6194122685,1355144.8173419912,11817308.055766102,-3090094.4524776256,859925.9560132404,-5409608.37790063,-11001387.886716764,8
1714437240.0,1110416.0438320215,5244417.726745605,-4283082.535415492,1391352.826932475,11958557.318812825,-2914074.368480849,890197.2470623273,-5265819.179062484,-11176470.037365207,8
1714437270.0,1146003.04333198,5379719.352632354,-4102299.5824725917,1426939.8264324334,12093858.944699574,-2733291.4155379487,920096.7177298007,-5116165.560983708,-11346661.860980503,8
1714437300.0,1180903.3075561395,5508926.096817345,-3916954.3580848924,1461840.090656593,12223065.688884566,-2547946.1911502494,949564.8559928727,-4960813.938851479,-11511776.262888158,8
1714437330.0,1215051.0700781539,5631897.320913005,-3727252.1808576914,1495987.8531786073,12346036.912980225,-2358244.0139230485,978541.8324469987,-4799936.677926543,-11671631.664543692,8
1714437360.0,1248380.810076261,5748499.581006675,-3533403.3587416327,1529317.5931767144,12462639.173073895,-2164395.1918069897,1006967.762305436,-4633712.476772018,-11826052.537243271,7
1714437390.0,1280827.3620292372,5858606.868099816,-3335622.9911249112,1561764.1451296906,12572746.460167035,-1966614.8241902683,1034782.8049475008,-4462326.22254135,-11974869.681695295,7
1714437420.0,1312325.7979465232,5962099.836545399,-3134130.108348991,1593262.5810469766,12676239.42861262,-1765121.9414143478,1061927.078507584,-4285967.992224644,-12117919.640816996,7
1714437450.0,1342812.2442484356,6058868.618685652,-2929149.295345301,1623749.027348889,12773008.21075287,-1560141.1284106579,1088341.3583725183,-4104835.2148107616,-12255047.162016172,8
1714437480.0,1372222.9864108993,6148809.317336413,-2720907.8550941334,1653159.7695113528,12862948.909403633,-1351899.6881594905,1113966.3292442015,-3919129.1812485596,-12386102.297103029,8
1714437510.0,1400495.2378910817,6231826.494779347,-2509637.2101626587,1681432.0209915352,12945966.086846568,-1140629.0432280158,1138743.2493382394,-3729056.9232930383,-12510942.588477468,8
1714437540.0,1427567.2629176932,6307833.381440361,-2295572.6357122646,1708504.0460181467,13021972.973507581,-926564.4687776216,1162614.0643428923,-3534830.9948531147,-12629433.3320241,8
1714437570.0,1453377.6895879782,6376749.005173184,-2078951.4050491897,1734314.4726884316,13090888.597240403,-709943.2381145468,1185520.8411297007,-3336667.073558269,-12741445.11161741,8
1714437600.0,1477866.8300247008,6438502.8469213685,-1860014.9449396713,1758803.6131251543,13152642.438988589,-491006.7780050284,1207406.8921218165,-3134787.0173860174,-12846857.977184832,7
1714437630.0,1500975.9686699626,6493031.871297524,-1639006.9160636775,1781912.751770416,13207171.463364745,-269998.7491290346,1228216.188349571,-2929416.382444999,-12945558.894659908,7
1714437660.0,1522647.6570981983,6540281.234068297,-1416173.307206509,1803584.4401986517,13254420.826135516,-47165.140271865996,1247893.6244286294,-2720784.6596764103,-13037442.431606684,7
1714437690.0,1542825.854211921,6580204.667491054,-1191762.2422601476,1823762.6373123745,13294344.259558275,177245.92467449536,1266385.14252379,-2509125.164280171,-13122411.178876063,7
1714437720.0,1561455.9425475579,6612763.974413117,-966023.5667589116,1842392.7256480113,13326903.566480339,402984.60017573135,1283637.7697902434,-2294674.5293039293,-13200375.339144628,9
1714437750.0,1578484.9712950403,6637929.779812369,-739208.7304044137,1859421.7543954938,13352069.371879589,629799.4365302293,1299599.8297618106,-2077672.743394658,-13271253.496045355,9
1714437780.0,1593861.7068606296,6655681.427187691,-511570.3630225198,1874798.489961083,13369821.019254912,857437.8039121232,1314220.9972010641,-1858362.7150299542,-13334972.599985005,9
1714437810.0,1607536.300478699,6666005.0137950275,-283362.0656676284,1888473.0835791524,13380144.605862249,1085646.1012670146,1327452.048140579,-1636989.670866562,-13391466.073427042,9
1714437840.0,1619461.245717433,6668897.322364975,-54838.13547098766,1900398.0288178865,13383036.914432194,1314170.0314636552,1339245.65218223,-1413801.6831138341,-13440677.753615046,9
1714437870.0,1629590.8780235513,6664363.050325642,173746.84271601285,1910527.6611240047,13378502.642392863,1542755.0096506558,1349555.9883144898,-1189048.7093508546,-13482559.242125753,9
1714437900.0,1637881.28510436,6652414.092707594,402138.2135244999,1918818.0682048134,13366553.684774814,1771146.3804591428,1358338.6853516886,-962982.2351144415,-13517069.24294542,9
1714437930.0,1644291.1506987337,6633072.894780718,630081.4029953952,1925227.9337991872,13347212.486847937,1999089.5699300382,1365551.5248070634,-735855.8048419403,-13544176.909001552,9
1714437960.0,1648781.0642362742,6606369.019853518,857322.4942818834,1929717.8473367277,13320508.611920739,2226330.6612165263,1371153.8946419572,-507923.76344599435,-13563858.5701633,8
1714437990.0,1651313.944337082,6572340.552244285,1083608.3110523834,1932250.7274375355,13286480.144311506,2452616.4779870263,1375107.1537427627,-279441.45966584515,-13576099.140522866,8
1714438020.0,1651855.1470033554,6531034.206796485,1308686.8214569704,1932791.9301038089,13245173.798863705,2677694.9883916136,1377374.7354395364,-50664.87321261503,-13580892.311141888,8
1714438050.0,1650372.3549362118,6482504.486115229,1532307.235284556,1931309.1380366653,13196644.07818245,2901315.4022191986,1377922.0721521392,178149.6504344372,-13578239.74015676,8
1714438080.0,1646835.8890404922,6426814.576258231,1754220.5699514912,1927772.6721409457,13140954.16832545,3123228.7368861344,1376716.869177469,406745.7721546837,-13568152.055875236,8
1714438110.0,1641218.6010885208,6364035.534221539,1974179.6959496033,1922155.3841889743,13078175.12628876,3343187.8628842463,1373729.031415016,634867.3676366685,-13550648.066241665,8
1714438140.0,1633496.0036247254,6294246.509738014,2191939.7633481375,1914432.7867251788,13008386.101805234,3560947.9302827804,1368930.7838854087,862258.899597886,-13525755.066897681,8
1714438170.0,1623646.3212039392,6217534.578784956,2407258.403962378,1904583.1043043926,12931674.170852177,3776266.570897021,1362296.7298842971,1088665.6488105631,-13493508.720922364,8
1714438200.0,1611650.337954832,6133993.870860794,2619895.73978326,1892587.1210552854,12848133.462928014,3988903.906717903,1353803.7351641061,1313833.8987472337,-13453952.200085398,8
1714438230.0,1597492.1686974892,6043727.9556396175,2829615.646684099,1878428.9517979426,12757867.547706839,4198623.813618742,1343431.5986010332,1537511.688198042,-13407138.806195945,8
1714438260.0,1581158.3704406251,5946846.522391961,3036184.7748874985,1862095.1535410786,12660986.114459181,4405192.941822141,1331162.3032891005,1759448.5254110661,-13353128.487915479,8
1714438290.0,1562638.5052648096,5843466.953086206,3239373.455525856,1843575.288365263,12557606.545153426,4608381.622460499,1316980.5131662376,1979395.9558231076,-13291989.585573504,8
1714438320.0,1541925.098093373,5733713.897349533,3438955.900359706,1822861.8811938264,12447853.489416752,4807964.067294349,1300873.5485912776,2197107.8433460244,-13223798.453529565,8
1714438350.0,1519013.6682943779,5617719.184603558,3634710.440058723,1799950.4513948313,12331858.776670778,5003718.606993366,1282831.421591555,2412340.6211577277,-13148639.423320193,8
1714438380.0,1493902.745338318,5495621.457277851,3826419.6795371603,1774839.5284387714,12209761.049345072,5195427.846471803,1262846.8668407875,2624853.5173356817,-13066604.47649459,8
1714438410.0,1466593.9589623248,5367566.182829031,4013870.836086743,1747530.7420627782,12081705.774896251,5382879.0030213855,1240915.4312419826,2834408.8829327933,-12977793.327975357,8
1714438440.0,1437091.779963601,5233704.661252151,4196855.463464915,1718028.5630640544,11947844.253319371,5565863.630399558,1217035.2564394411,3040772.123000966,-12882312.388614431,8
1714438470.0,1405404.3644449539,5094196.304349664,4375171.378738359,1686341.1475454073,11808335.896416884,5744179.545673002,1191207.8270391403,3243713.1197682265,-12780277.417602666,8
1714438500.0,1371542.4808060476,4949205.287458923,4548620.758641622,1652479.263906501,11663344.879526142,5917628.925576265,1163437.038515871,3443005.0486022867,-12671809.819040656,8
1714438530.0,1335520.172549666,4798902.06056798,4717011.505846667,1616456.9556501193,11513041.6526352,6086019.67278131,1133729.7962663677,3638425.407683382,-12557038.422496194,8
1714438560.0,1297354.5650210204,4643462.780752039,4880157.131070651,1578291.3481214738,11357602.37281926,6249165.298005294,1102095.846245125,3829756.0180152953,-12436098.895899119,6
1714438590.0,1257065.8680086357,4483069.050523919,5037876.916227974,1538002.6511090891,11197208.64259114,6406885.083162617,1068547.788501523,4016783.235730591,-12309133.522317084,6
1714438620.0,1214677.3911547803,4317907.762029054,5189995.989037217,1495614.1742552337,11032047.354096275,6559004.15597186,1033101.0990903659,4199298.0563098425,-12176291.063071819,6
1714438650.0,1170216.0384925832,4148171.591692112,5336347.075317751,1451152.8215930366,10862311.183759332,6705355.242252394,995774.6034974637,4377097.727779927,-12037727.61403644,5
1714438680.0,1123710.7507703528,3974055.8939653398,5476764.876072195,1404647.5338708062,10688195.48603256,6845773.043006838,956589.0501856402,4549980.878679318,-11893602.37233164,4
1714438710.0,1075195.5021068926,3795765.064976049,5611100.173865914,1356132.285207346,10509904.657043269,6980108.340800557,915569.8385917095,4717760.035066938,-11744086.820465073,5
1714438740.0,1024705.5271723333,3613503.692667087,5739201.747342964,1305642.3102727868,10327643.284734307,7108209.914277607,872743.6195827364,4880245.710834477,-11589352.277883606,5
1714438770.0,972279.7538748243,3427481.9621237516,5860928.164536517,1253216.5369752776,10141621.554190971,7229936.33147116,828140.5000409684,5037256.855785514,-11429577.659526166,6
